,league_id,name,type,country,country_code,season,season_start,season_end,logo,flag,standings,is_current,coverage
0,701,Premier League,League,England,GB,2010,2010-08-14,2011-05-17,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,1,0,"{'standings': True, 'fixtures': {'events': True, 'lineups': True, 'statistics': False, 'players_statistics': False}, 'players': True, 'topScorers': True, 'predictions': True, 'odds': False}"
1,700,Premier League,League,England,GB,2011,2011-08-13,2012-05-13,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,1,0,"{'standings': True, 'fixtures': {'events': True, 'lineups': True, 'statistics': False, 'players_statistics': False}, 'players': True, 'topScorers': True, 'predictions': True, 'odds': False}"
2,699,Premier League,League,England,GB,2012,2012-08-18,2013-05-19,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,1,0,"{'standings': True, 'fixtures': {'events': True, 'lineups': True, 'statistics': False, 'players_statistics': False}, 'players': True, 'topScorers': True, 'predictions': True, 'odds': False}"
3,698,Premier League,League,England,GB,2013,2013-08-17,2014-05-11,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,1,0,"{'standings': True, 'fixtures': {'events': True, 'lineups': True, 'statistics': False, 'players_statistics': False}, 'players': True, 'topScorers': True, 'predictions': True, 'odds': False}"
4,697,Premier League,League,England,GB,2014,2014-08-16,2015-05-24,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,1,0,"{'standings': True, 'fixtures': {'events': True, 'lineups': True, 'statistics': True, 'players_statistics': True}, 'players': True, 'topScorers': True, 'predictions': True, 'odds': False}"
5,696,Premier League,League,England,GB,2015,2015-08-08,2016-05-17,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,1,0,"{'standings': True, 'fixtures': {'events': True, 'lineups': True, 'statistics': True, 'players_statistics': True}, 'players': True, 'topScorers': True, 'predictions': True, 'odds': False}"
6,56,Premier League,League,England,GB,2016,2016-08-13,2017-05-21,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,1,0,"{'standings': True, 'fixtures': {'events': True, 'lineups': True, 'statistics': True, 'players_statistics': True}, 'players': True, 'topScorers': True, 'predictions': True, 'odds': False}"
7,37,Premier League,League,England,GB,2017,2017-08-11,2018-05-13,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,1,0,"{'standings': True, 'fixtures': {'events': True, 'lineups': True, 'statistics': True, 'players_statistics': True}, 'players': True, 'topScorers': True, 'predictions': True, 'odds': False}"
8,2,Premier League,League,England,GB,2018,2018-08-10,2019-05-12,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,1,0,"{'standings': True, 'fixtures': {'events': True, 'lineups': True, 'statistics': True, 'players_statistics': True}, 'players': True, 'topScorers': True, 'predictions': True, 'odds': False}"
9,524,Premier League,League,England,GB,2019,2019-08-09,2020-07-26,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,1,0,"{'standings': True, 'fixtures': {'events': True, 'lineups': True, 'statistics': True, 'players_statistics': True}, 'players': True, 'topScorers': True, 'predictions': True, 'odds': False}"
10,2790,Premier League,League,England,GB,2020,2020-09-12,2021-05-23,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,1,0,"{'standings': True, 'fixtures': {'events': True, 'lineups': True, 'statistics': True, 'players_statistics': True}, 'players': True, 'topScorers': True, 'predictions': True, 'odds': False}"
11,3456,Premier League,League,England,GB,2021,2021-08-13,2022-05-22,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,1,0,"{'standings': True, 'fixtures': {'events': True, 'lineups': True, 'statistics': True, 'players_statistics': True}, 'players': True, 'topScorers': True, 'predictions': True, 'odds': False}"
12,4335,Premier League,League,England,GB,2022,2022-08-05,2023-05-28,https://media.api-sports.io/football/leagues/39.png,https://media.api-sports.io/flags/gb.svg,1,1,"{'standings': True, 'fixtures': {'events': True, 'lineups': True, 'statistics': True, 'players_statistics': True}, 'players': True, 'topScorers': True, 'predictions': True, 'odds': False}"
